NODE_ID,FLOOR,AISLE,COLUMN,__DEPOT__,n00001,n00002,n00003,n00004,n00005,n00006,n00007,n00008,n00009,n00010,n00011,n00012,n00013,n00014,n00015,n00016,n00017,n00018,n00019,n00020,n00021,n00022,n00023,n00024,n00025,n00026,n00027,n00028,n00029,n00030,n00031,n00032,n00033,n00034,n00035,n00036,n00037,n00038,n00039,n00040,n00041,n00042,n00043,n00044,n00045,n00046,n00047,n00048,n00049,n00050,n00051,n00052,n00053,n00054,n00055,n00056,n00057,n00058,n00059,n00060,n00061,n00062,n00063,n00064,n00065,n00066,n00067,n00068,n00069,n00070,n00071,n00072,n00073,n00074,n00075,n00076,n00077,n00078,n00079,n00080,n00081,n00082,n00083,n00084,n00085,n00086,n00087,n00088,n00089,n00090,n00091,n00092,n00093,n00094,n00095,n00096,n00097,n00098,n00099,n00100,n00101,n00102,n00103,n00104,n00105,n00106,n00107,n00108,n00109,n00110,n00111,n00112,n00113,n00114,n00115,n00116,n00117,n00118,n00119,n00120,n00121,n00122,n00123,n00124,n00125,n00126,n00127,n00128,n00129,n00130,n00131,n00132,n00133,n00134,n00135,n00136,n00137,n00138,n00139,n00140,n00141,n00142,n00143,n00144,n00145,n00146,n00147,n00148,n00149,n00150,n00151,n00152,n00153,n00154,n00155,n00156,n00157,n00158,n00159,n00160,n00161,n00162,n00163,n00164,n00165,n00166,n00167,n00168,n00169,n00170,n00171,n00172,n00173,n00174,n00175,n00176,n00177,n00178,n00179,n00180,n00181,n00182,n00183,n00184,n00185,n00186,n00187,n00188,n00189,n00190,n00191,n00192,n00193,n00194,n00195,n00196,n00197,n00198,n00199,n00200,n00201,n00202,n00203
n00040,MZN1,4,13,68.27,42.74,39.84,36.94,28.24,22.44,34.04,39.84,44.86,41.96,39.06,36.16,33.26,30.36,27.46,24.56,21.66,18.76,21.66,24.56,30.36,36.16,36.16,29.58,26.68,17.98,15.08,20.88,26.68,32.48,32.48,31.7,28.8,25.9,23,20.1,17.2,14.3,11.4,2.9,0,5.8,8.7,14.5,38.28,29.58,20.88,17.98,15.08,29.58,32.48,35.38,41.96,36.16,33.26,30.36,27.46,24.56,21.66,18.76,21.66,24.56,27.46,30.36,33.26,36.16,39.06,36.16,45.64,42.74,31.14,25.34,25.34,31.14,34.04,39.84,39.84,49.32,46.42,43.52,40.62,34.82,29.02,26.12,29.02,31.92,34.82,37.72,40.62,43.52,46.42,43.52,55.9,53,39.28,63.26,60.36,51.66,48.76,42.96,40.06,37.16,40.06,42.96,45.86,48.76,51.66,57.46,64.04,61.14,58.24,55.34,52.44,46.64,43.74,40.84,43.74,46.64,49.54,55.34,58.24,61.14,70.62,67.72,64.82,59.02,56.12,53.22,50.32,47.42,47.42,50.32,59.02,61.92,64.82,61.92,65.6,62.7,59.8,56.9,54,51.1,48.2,51.1,54,56.9,59.8,62.7,65.6,65.6,75.08,72.18,69.28,66.38,63.48,60.58,57.68,54.78,51.88,51.88,54.78,57.68,63.48,66.38,78.76,75.86,70.06,67.16,64.26,61.36,58.46,58.46,61.36,67.16,70.06,75.86,85.34,82.44,79.54,76.64,73.74,70.84,67.94,65.04,59.24,62.14,65.04,67.94,70.84,73.74,79.54,89.02,83.22,80.32,71.62,68.72,65.82,62.92,65.82,68.72,74.52,77.42,80.32,83.22
n00041,MZN1,4,15,74.07,48.54,45.64,42.74,34.04,28.24,39.84,34.04,50.66,47.76,44.86,41.96,39.06,36.16,33.26,30.36,27.46,24.56,27.46,30.36,36.16,36.16,30.36,35.38,32.48,23.78,20.88,26.68,32.48,32.48,26.68,37.5,34.6,31.7,28.8,25.9,23,20.1,17.2,8.7,5.8,0,2.9,8.7,44.08,35.38,26.68,23.78,20.88,35.38,32.48,29.58,47.76,41.96,39.06,36.16,33.26,30.36,27.46,24.56,27.46,30.36,33.26,36.16,39.06,36.16,33.26,30.36,51.44,48.54,36.94,31.14,31.14,36.94,39.84,39.84,34.04,55.12,52.22,49.32,46.42,40.62,34.82,31.92,34.82,37.72,40.62,43.52,46.42,43.52,40.62,37.72,61.7,58.8,45.08,69.06,66.16,57.46,54.56,48.76,45.86,42.96,45.86,48.76,51.66,54.56,57.46,51.66,69.84,66.94,64.04,61.14,58.24,52.44,49.54,46.64,49.54,52.44,55.34,61.14,58.24,55.34,76.42,73.52,70.62,64.82,61.92,59.02,56.12,53.22,53.22,56.12,64.82,61.92,59.02,56.12,71.4,68.5,65.6,62.7,59.8,56.9,54,56.9,59.8,62.7,65.6,68.5,65.6,59.8,80.88,77.98,75.08,72.18,69.28,66.38,63.48,60.58,57.68,57.68,60.58,63.48,69.28,72.18,84.56,81.66,75.86,72.96,70.06,67.16,64.26,64.26,67.16,72.96,75.86,70.06,91.14,88.24,85.34,82.44,79.54,76.64,73.74,70.84,65.04,67.94,70.84,73.74,76.64,79.54,73.74,94.82,89.02,86.12,77.42,74.52,71.62,68.72,71.62,74.52,80.32,83.22,80.32,77.42
n00042,MZN1,4,16,76.97,51.44,48.54,45.64,36.94,31.14,42.74,31.14,53.56,50.66,47.76,44.86,41.96,39.06,36.16,33.26,30.36,27.46,30.36,33.26,39.06,33.26,27.46,38.28,35.38,26.68,23.78,29.58,35.38,29.58,23.78,40.4,37.5,34.6,31.7,28.8,25.9,23,20.1,11.6,8.7,2.9,0,5.8,46.98,38.28,29.58,26.68,23.78,32.48,29.58,26.68,50.66,44.86,41.96,39.06,36.16,33.26,30.36,27.46,30.36,33.26,36.16,39.06,36.16,33.26,30.36,27.46,54.34,51.44,39.84,34.04,34.04,39.84,42.74,36.94,31.14,58.02,55.12,52.22,49.32,43.52,37.72,34.82,37.72,40.62,43.52,46.42,43.52,40.62,37.72,34.82,64.6,61.7,47.98,71.96,69.06,60.36,57.46,51.66,48.76,45.86,48.76,51.66,54.56,57.46,54.56,48.76,72.74,69.84,66.94,64.04,61.14,55.34,52.44,49.54,52.44,55.34,58.24,58.24,55.34,52.44,79.32,76.42,73.52,67.72,64.82,61.92,59.02,56.12,56.12,59.02,61.92,59.02,56.12,53.22,74.3,71.4,68.5,65.6,62.7,59.8,56.9,59.8,62.7,65.6,68.5,65.6,62.7,56.9,83.78,80.88,77.98,75.08,72.18,69.28,66.38,63.48,60.58,60.58,63.48,66.38,72.18,69.28,87.46,84.56,78.76,75.86,72.96,70.06,67.16,67.16,70.06,75.86,72.96,67.16,94.04,91.14,88.24,85.34,82.44,79.54,76.64,73.74,67.94,70.84,73.74,76.64,79.54,76.64,70.84,97.72,91.92,89.02,80.32,77.42,74.52,71.62,74.52,77.42,83.22,80.32,77.42,74.52
n00043,MZN1,4,18,82.77,57.24,54.34,51.44,42.74,36.94,36.94,25.34,59.36,56.46,53.56,50.66,47.76,44.86,41.96,39.06,36.16,33.26,36.16,39.06,33.26,27.46,21.66,44.08,41.18,32.48,29.58,35.38,29.58,23.78,17.98,46.2,43.3,40.4,37.5,34.6,31.7,28.8,25.9,17.4,14.5,8.7,5.8,0,52.78,44.08,35.38,32.48,29.58,26.68,23.78,20.88,56.46,50.66,47.76,44.86,41.96,39.06,36.16,33.26,36.16,39.06,36.16,33.26,30.36,27.46,24.56,21.66,60.14,57.24,45.64,39.84,39.84,39.84,36.94,31.14,25.34,63.82,60.92,58.02,55.12,49.32,43.52,40.62,43.52,46.42,43.52,40.62,37.72,34.82,31.92,29.02,70.4,67.5,53.78,77.76,74.86,66.16,63.26,57.46,54.56,51.66,54.56,57.46,54.56,51.66,48.76,42.96,78.54,75.64,72.74,69.84,66.94,61.14,58.24,55.34,58.24,61.14,58.24,52.44,49.54,46.64,85.12,82.22,79.32,73.52,70.62,67.72,64.82,61.92,61.92,64.82,56.12,53.22,50.32,47.42,80.1,77.2,74.3,71.4,68.5,65.6,62.7,65.6,68.5,65.6,62.7,59.8,56.9,51.1,89.58,86.68,83.78,80.88,77.98,75.08,72.18,69.28,66.38,66.38,69.28,72.18,66.38,63.48,93.26,90.36,84.56,81.66,78.76,75.86,72.96,72.96,75.86,70.06,67.16,61.36,99.84,96.94,94.04,91.14,88.24,85.34,82.44,79.54,73.74,76.64,79.54,76.64,73.74,70.84,65.04,103.52,97.72,94.82,86.12,83.22,80.32,77.42,80.32,83.22,77.42,74.52,71.62,68.72
n00044,MZN1,5,2,29.99,29.02,31.92,34.82,43.52,43.52,55.12,66.72,19.54,22.44,25.34,28.24,31.14,34.04,36.94,39.84,42.74,39.84,42.74,45.64,51.44,57.24,63.04,27.46,30.36,39.06,36.16,41.96,47.76,53.56,59.36,17.98,20.88,23.78,26.68,29.58,32.48,35.38,32.48,35.38,38.28,44.08,46.98,52.78,0,8.7,17.4,20.3,23.2,43.3,46.2,49.1,15.08,20.88,23.78,26.68,29.58,32.48,35.38,32.48,35.38,38.28,41.18,44.08,46.98,49.88,52.78,55.68,18.76,21.66,33.26,39.06,39.06,44.86,47.76,53.56,59.36,22.44,25.34,28.24,31.14,36.94,42.74,39.84,42.74,45.64,48.54,51.44,54.34,57.24,60.14,63.04,23.22,26.12,47.2,30.58,33.48,42.18,45.08,50.88,53.78,50.88,53.78,56.68,59.58,62.48,65.38,71.18,37.16,40.06,42.96,45.86,48.76,54.56,57.46,54.56,57.46,60.36,63.26,69.06,71.96,74.86,37.94,40.84,43.74,49.54,52.44,55.34,58.24,61.14,61.14,64.04,72.74,75.64,78.54,81.44,50.32,53.22,56.12,59.02,61.92,64.82,61.92,64.82,67.72,70.62,73.52,76.42,79.32,85.12,48.2,51.1,54,56.9,59.8,62.7,65.6,68.5,65.6,65.6,68.5,71.4,77.2,80.1,51.88,54.78,60.58,63.48,66.38,69.28,72.18,72.18,75.08,80.88,83.78,89.58,52.66,55.56,58.46,61.36,64.26,67.16,70.06,72.96,72.96,75.86,78.76,81.66,84.56,87.46,93.26,56.34,62.14,65.04,73.74,76.64,79.54,76.64,79.54,82.44,88.24,91.14,94.04,96.94
n00045,MZN1,5,5,38.69,37.72,40.62,43.52,40.62,34.82,46.42,58.02,28.24,31.14,34.04,36.94,39.84,42.74,39.84,36.94,34.04,31.14,34.04,36.94,42.74,48.54,54.34,36.16,39.06,30.36,27.46,33.26,39.06,44.86,50.66,26.68,29.58,32.48,35.38,32.48,29.58,26.68,23.78,26.68,29.58,35.38,38.28,44.08,8.7,0,8.7,11.6,14.5,34.6,37.5,40.4,23.78,29.58,32.48,35.38,32.48,29.58,26.68,23.78,26.68,29.58,32.48,35.38,38.28,41.18,44.08,46.98,27.46,30.36,36.16,30.36,30.36,36.16,39.06,44.86,50.66,31.14,34.04,36.94,39.84,39.84,34.04,31.14,34.04,36.94,39.84,42.74,45.64,48.54,51.44,54.34,31.92,34.82,44.3,39.28,42.18,50.88,53.78,47.98,45.08,42.18,45.08,47.98,50.88,53.78,56.68,62.48,45.86,48.76,51.66,54.56,57.46,51.66,48.76,45.86,48.76,51.66,54.56,60.36,63.26,66.16,46.64,49.54,52.44,58.24,61.14,58.24,55.34,52.44,52.44,55.34,64.04,66.94,69.84,72.74,59.02,61.92,64.82,61.92,59.02,56.12,53.22,56.12,59.02,61.92,64.82,67.72,70.62,76.42,56.9,59.8,62.7,65.6,68.5,65.6,62.7,59.8,56.9,56.9,59.8,62.7,68.5,71.4,60.58,63.48,69.28,72.18,69.28,66.38,63.48,63.48,66.38,72.18,75.08,80.88,61.36,64.26,67.16,70.06,72.96,75.86,72.96,70.06,64.26,67.16,70.06,72.96,75.86,78.76,84.56,65.04,70.84,73.74,76.64,73.74,70.84,67.94,70.84,73.74,79.54,82.44,85.34,88.24
n00046,MZN1,5,8,47.39,46.42,43.52,40.62,31.92,26.12,37.72,49.32,36.94,39.84,42.74,39.84,36.94,34.04,31.14,28.24,25.34,22.44,25.34,28.24,34.04,39.84,45.64,33.26,30.36,21.66,18.76,24.56,30.36,36.16,41.96,35.38,32.48,29.58,26.68,23.78,20.88,17.98,15.08,17.98,20.88,26.68,29.58,35.38,17.4,8.7,0,2.9,5.8,25.9,28.8,31.7,32.48,32.48,29.58,26.68,23.78,20.88,17.98,15.08,17.98,20.88,23.78,26.68,29.58,32.48,35.38,38.28,36.16,39.06,27.46,21.66,21.66,27.46,30.36,36.16,41.96,39.84,42.74,39.84,36.94,31.14,25.34,22.44,25.34,28.24,31.14,34.04,36.94,39.84,42.74,45.64,40.62,43.52,35.6,47.98,50.88,47.98,45.08,39.28,36.38,33.48,36.38,39.28,42.18,45.08,47.98,53.78,54.56,57.46,54.56,51.66,48.76,42.96,40.06,37.16,40.06,42.96,45.86,51.66,54.56,57.46,55.34,58.24,61.14,55.34,52.44,49.54,46.64,43.74,43.74,46.64,55.34,58.24,61.14,64.04,61.92,59.02,56.12,53.22,50.32,47.42,44.52,47.42,50.32,53.22,56.12,59.02,61.92,67.72,65.6,68.5,65.6,62.7,59.8,56.9,54,51.1,48.2,48.2,51.1,54,59.8,62.7,69.28,72.18,66.38,63.48,60.58,57.68,54.78,54.78,57.68,63.48,66.38,72.18,70.06,72.96,75.86,72.96,70.06,67.16,64.26,61.36,55.56,58.46,61.36,64.26,67.16,70.06,75.86,73.74,79.54,76.64,67.94,65.04,62.14,59.24,62.14,65.04,70.84,73.74,76.64,79.54
n00047,MZN1,5,9,50.29,43.52,40.62,37.72,29.02,23.22,34.82,46.42,39.84,42.74,39.84,36.94,34.04,31.14,28.24,25.34,22.44,19.54,22.44,25.34,31.14,36.94,42.74,30.36,27.46,18.76,15.86,21.66,27.46,33.26,39.06,32.48,29.58,26.68,23.78,20.88,17.98,15.08,12.18,15.08,17.98,23.78,26.68,32.48,20.3,11.6,2.9,0,2.9,23,25.9,28.8,35.38,29.58,26.68,23.78,20.88,17.98,15.08,12.18,15.08,17.98,20.88,23.78,26.68,29.58,32.48,35.38,39.06,36.16,24.56,18.76,18.76,24.56,27.46,33.26,39.06,42.74,39.84,36.94,34.04,28.24,22.44,19.54,22.44,25.34,28.24,31.14,34.04,36.94,39.84,42.74,43.52,46.42,32.7,50.88,53.78,45.08,42.18,36.38,33.48,30.58,33.48,36.38,39.28,42.18,45.08,50.88,57.46,54.56,51.66,48.76,45.86,40.06,37.16,34.26,37.16,40.06,42.96,48.76,51.66,54.56,58.24,61.14,58.24,52.44,49.54,46.64,43.74,40.84,40.84,43.74,52.44,55.34,58.24,61.14,59.02,56.12,53.22,50.32,47.42,44.52,41.62,44.52,47.42,50.32,53.22,56.12,59.02,64.82,68.5,65.6,62.7,59.8,56.9,54,51.1,48.2,45.3,45.3,48.2,51.1,56.9,59.8,72.18,69.28,63.48,60.58,57.68,54.78,51.88,51.88,54.78,60.58,63.48,69.28,72.96,75.86,72.96,70.06,67.16,64.26,61.36,58.46,52.66,55.56,58.46,61.36,64.26,67.16,72.96,76.64,76.64,73.74,65.04,62.14,59.24,56.34,59.24,62.14,67.94,70.84,73.74,76.64
n00048,MZN1,5,10,53.19,40.62,37.72,34.82,26.12,20.32,31.92,43.52,42.74,39.84,36.94,34.04,31.14,28.24,25.34,22.44,19.54,16.64,19.54,22.44,28.24,34.04,39.84,27.46,24.56,15.86,12.96,18.76,24.56,30.36,36.16,29.58,26.68,23.78,20.88,17.98,15.08,12.18,9.28,12.18,15.08,20.88,23.78,29.58,23.2,14.5,5.8,2.9,0,20.1,23,25.9,32.48,26.68,23.78,20.88,17.98,15.08,12.18,9.28,12.18,15.08,17.98,20.88,23.78,26.68,29.58,32.48,36.16,33.26,21.66,15.86,15.86,21.66,24.56,30.36,36.16,39.84,36.94,34.04,31.14,25.34,19.54,16.64,19.54,22.44,25.34,28.24,31.14,34.04,36.94,39.84,46.42,43.52,29.8,53.78,50.88,42.18,39.28,33.48,30.58,27.68,30.58,33.48,36.38,39.28,42.18,47.98,54.56,51.66,48.76,45.86,42.96,37.16,34.26,31.36,34.26,37.16,40.06,45.86,48.76,51.66,61.14,58.24,55.34,49.54,46.64,43.74,40.84,37.94,37.94,40.84,49.54,52.44,55.34,58.24,56.12,53.22,50.32,47.42,44.52,41.62,38.72,41.62,44.52,47.42,50.32,53.22,56.12,61.92,65.6,62.7,59.8,56.9,54,51.1,48.2,45.3,42.4,42.4,45.3,48.2,54,56.9,69.28,66.38,60.58,57.68,54.78,51.88,48.98,48.98,51.88,57.68,60.58,66.38,75.86,72.96,70.06,67.16,64.26,61.36,58.46,55.56,49.76,52.66,55.56,58.46,61.36,64.26,70.06,79.54,73.74,70.84,62.14,59.24,56.34,53.44,56.34,59.24,65.04,67.94,70.84,73.74
n00049,MZN1,5,16,73.29,55.12,52.22,49.32,40.62,34.82,46.42,34.82,57.24,54.34,51.44,48.54,45.64,42.74,39.84,36.94,34.04,31.14,34.04,36.94,42.74,36.94,31.14,41.96,39.06,30.36,27.46,33.26,39.06,33.26,27.46,44.08,41.18,38.28,35.38,32.48,29.58,26.68,23.78,26.68,29.58,35.38,32.48,26.68,43.3,34.6,25.9,23,20.1,0,2.9,5.8,46.98,41.18,38.28,35.38,32.48,29.58,26.68,23.78,26.68,29.58,32.48,35.38,32.48,29.58,26.68,23.78,50.66,47.76,36.16,30.36,30.36,36.16,39.06,33.26,27.46,54.34,51.44,48.54,45.64,39.84,34.04,31.14,34.04,36.94,39.84,42.74,39.84,36.94,34.04,31.14,60.92,58.02,44.3,68.28,65.38,56.68,53.78,47.98,45.08,42.18,45.08,47.98,50.88,53.78,50.88,45.08,69.06,66.16,63.26,60.36,57.46,51.66,48.76,45.86,48.76,51.66,54.56,54.56,51.66,48.76,75.64,72.74,69.84,64.04,61.14,58.24,55.34,52.44,52.44,55.34,58.24,55.34,52.44,49.54,70.62,67.72,64.82,61.92,59.02,56.12,53.22,56.12,59.02,61.92,64.82,61.92,59.02,53.22,80.1,77.2,74.3,71.4,68.5,65.6,62.7,59.8,56.9,56.9,59.8,62.7,68.5,65.6,83.78,80.88,75.08,72.18,69.28,66.38,63.48,63.48,66.38,72.18,69.28,63.48,90.36,87.46,84.56,81.66,78.76,75.86,72.96,70.06,64.26,67.16,70.06,72.96,75.86,72.96,67.16,94.04,88.24,85.34,76.64,73.74,70.84,67.94,70.84,73.74,79.54,76.64,73.74,70.84
n00050,MZN1,5,17,76.19,58.02,55.12,52.22,43.52,37.72,43.52,31.92,60.14,57.24,54.34,51.44,48.54,45.64,42.74,39.84,36.94,34.04,36.94,39.84,39.84,34.04,28.24,44.86,41.96,33.26,30.36,36.16,36.16,30.36,24.56,46.98,44.08,41.18,38.28,35.38,32.48,29.58,26.68,29.58,32.48,32.48,29.58,23.78,46.2,37.5,28.8,25.9,23,2.9,0,2.9,49.88,44.08,41.18,38.28,35.38,32.48,29.58,26.68,29.58,32.48,35.38,32.48,29.58,26.68,23.78,20.88,53.56,50.66,39.06,33.26,33.26,39.06,36.16,30.36,24.56,57.24,54.34,51.44,48.54,42.74,36.94,34.04,36.94,39.84,42.74,39.84,36.94,34.04,31.14,28.24,63.82,60.92,47.2,71.18,68.28,59.58,56.68,50.88,47.98,45.08,47.98,50.88,53.78,50.88,47.98,42.18,71.96,69.06,66.16,63.26,60.36,54.56,51.66,48.76,51.66,54.56,57.46,51.66,48.76,45.86,78.54,75.64,72.74,66.94,64.04,61.14,58.24,55.34,55.34,58.24,55.34,52.44,49.54,46.64,73.52,70.62,67.72,64.82,61.92,59.02,56.12,59.02,61.92,64.82,61.92,59.02,56.12,50.32,83,80.1,77.2,74.3,71.4,68.5,65.6,62.7,59.8,59.8,62.7,65.6,65.6,62.7,86.68,83.78,77.98,75.08,72.18,69.28,66.38,66.38,69.28,69.28,66.38,60.58,93.26,90.36,87.46,84.56,81.66,78.76,75.86,72.96,67.16,70.06,72.96,75.86,72.96,70.06,64.26,96.94,91.14,88.24,79.54,76.64,73.74,70.84,73.74,76.64,76.64,73.74,70.84,67.94
n00051,MZN1,5,18,79.09,60.92,58.02,55.12,46.42,40.62,40.62,29.02,63.04,60.14,57.24,54.34,51.44,48.54,45.64,42.74,39.84,36.94,39.84,42.74,36.94,31.14,25.34,47.76,44.86,36.16,33.26,39.06,33.26,27.46,21.66,49.88,46.98,44.08,41.18,38.28,35.38,32.48,29.58,32.48,35.38,29.58,26.68,20.88,49.1,40.4,31.7,28.8,25.9,5.8,2.9,0,52.78,46.98,44.08,41.18,38.28,35.38,32.48,29.58,32.48,35.38,32.48,29.58,26.68,23.78,20.88,17.98,56.46,53.56,41.96,36.16,36.16,36.16,33.26,27.46,21.66,60.14,57.24,54.34,51.44,45.64,39.84,36.94,39.84,42.74,39.84,36.94,34.04,31.14,28.24,25.34,66.72,63.82,50.1,74.08,71.18,62.48,59.58,53.78,50.88,47.98,50.88,53.78,50.88,47.98,45.08,39.28,74.86,71.96,69.06,66.16,63.26,57.46,54.56,51.66,54.56,57.46,54.56,48.76,45.86,42.96,81.44,78.54,75.64,69.84,66.94,64.04,61.14,58.24,58.24,61.14,52.44,49.54,46.64,43.74,76.42,73.52,70.62,67.72,64.82,61.92,59.02,61.92,64.82,61.92,59.02,56.12,53.22,47.42,85.9,83,80.1,77.2,74.3,71.4,68.5,65.6,62.7,62.7,65.6,68.5,62.7,59.8,89.58,86.68,80.88,77.98,75.08,72.18,69.28,69.28,72.18,66.38,63.48,57.68,96.16,93.26,90.36,87.46,84.56,81.66,78.76,75.86,70.06,72.96,75.86,72.96,70.06,67.16,61.36,99.84,94.04,91.14,82.44,79.54,76.64,73.74,76.64,79.54,73.74,70.84,67.94,65.04
n00052,MZN1,6,2,26.31,32.7,35.6,38.5,47.2,47.2,58.8,70.4,23.22,26.12,29.02,31.92,34.82,37.72,40.62,43.52,46.42,43.52,46.42,49.32,55.12,60.92,66.72,31.14,34.04,42.74,39.84,45.64,51.44,57.24,63.04,21.66,24.56,27.46,30.36,33.26,36.16,39.06,36.16,39.06,41.96,47.76,50.66,56.46,15.08,23.78,32.48,35.38,32.48,46.98,49.88,52.78,0,5.8,8.7,11.6,14.5,17.4,20.3,23.2,31.7,34.6,37.5,40.4,43.3,46.2,49.1,52,15.08,17.98,29.58,35.38,35.38,41.18,44.08,49.88,55.68,18.76,21.66,24.56,27.46,33.26,39.06,36.16,39.06,41.96,44.86,47.76,50.66,53.56,56.46,59.36,19.54,22.44,43.52,26.9,29.8,38.5,41.4,47.2,50.1,47.2,50.1,53,55.9,58.8,61.7,67.5,33.48,36.38,39.28,42.18,45.08,50.88,53.78,50.88,53.78,56.68,59.58,65.38,68.28,71.18,34.26,37.16,40.06,45.86,48.76,51.66,54.56,57.46,57.46,60.36,69.06,71.96,74.86,77.76,46.64,49.54,52.44,55.34,58.24,61.14,58.24,61.14,64.04,66.94,69.84,72.74,75.64,81.44,44.52,47.42,50.32,53.22,56.12,59.02,61.92,64.82,61.92,61.92,64.82,67.72,73.52,76.42,48.2,51.1,56.9,59.8,62.7,65.6,68.5,68.5,71.4,77.2,80.1,85.9,48.98,51.88,54.78,57.68,60.58,63.48,66.38,69.28,69.28,72.18,75.08,77.98,80.88,83.78,89.58,52.66,58.46,61.36,70.06,72.96,75.86,72.96,75.86,78.76,84.56,87.46,90.36,93.26
n00053,MZN1,6,4,32.11,38.5,41.4,44.3,47.2,41.4,53,64.6,29.02,31.92,34.82,37.72,40.62,43.52,46.42,43.52,40.62,37.72,40.62,43.52,49.32,55.12,60.92,36.94,39.84,36.94,34.04,39.84,45.64,51.44,57.24,27.46,30.36,33.26,36.16,39.06,36.16,33.26,30.36,33.26,36.16,41.96,44.86,50.66,20.88,29.58,32.48,29.58,26.68,41.18,44.08,46.98,5.8,0,2.9,5.8,8.7,11.6,14.5,17.4,25.9,28.8,31.7,34.6,37.5,40.4,43.3,46.2,20.88,23.78,35.38,29.58,29.58,35.38,38.28,44.08,49.88,24.56,27.46,30.36,33.26,39.06,33.26,30.36,33.26,36.16,39.06,41.96,44.86,47.76,50.66,53.56,25.34,28.24,43.52,32.7,35.6,44.3,47.2,47.2,44.3,41.4,44.3,47.2,50.1,53,55.9,61.7,39.28,42.18,45.08,47.98,50.88,50.88,47.98,45.08,47.98,50.88,53.78,59.58,62.48,65.38,40.06,42.96,45.86,51.66,54.56,57.46,54.56,51.66,51.66,54.56,63.26,66.16,69.06,71.96,52.44,55.34,58.24,61.14,58.24,55.34,52.44,55.34,58.24,61.14,64.04,66.94,69.84,75.64,50.32,53.22,56.12,59.02,61.92,64.82,61.92,59.02,56.12,56.12,59.02,61.92,67.72,70.62,54,56.9,62.7,65.6,68.5,65.6,62.7,62.7,65.6,71.4,74.3,80.1,54.78,57.68,60.58,63.48,66.38,69.28,72.18,69.28,63.48,66.38,69.28,72.18,75.08,77.98,83.78,58.46,64.26,67.16,75.86,72.96,70.06,67.16,70.06,72.96,78.76,81.66,84.56,87.46
n00054,MZN1,6,5,35.01,41.4,44.3,47.2,44.3,38.5,50.1,61.7,31.92,34.82,37.72,40.62,43.52,46.42,43.52,40.62,37.72,34.82,37.72,40.62,46.42,52.22,58.02,39.84,42.74,34.04,31.14,36.94,42.74,48.54,54.34,30.36,33.26,36.16,39.06,36.16,33.26,30.36,27.46,30.36,33.26,39.06,41.96,47.76,23.78,32.48,29.58,26.68,23.78,38.28,41.18,44.08,8.7,2.9,0,2.9,5.8,8.7,11.6,14.5,23,25.9,28.8,31.7,34.6,37.5,40.4,43.3,23.78,26.68,32.48,26.68,26.68,32.48,35.38,41.18,46.98,27.46,30.36,33.26,36.16,36.16,30.36,27.46,30.36,33.26,36.16,39.06,41.96,44.86,47.76,50.66,28.24,31.14,40.62,35.6,38.5,47.2,50.1,44.3,41.4,38.5,41.4,44.3,47.2,50.1,53,58.8,42.18,45.08,47.98,50.88,53.78,47.98,45.08,42.18,45.08,47.98,50.88,56.68,59.58,62.48,42.96,45.86,48.76,54.56,57.46,54.56,51.66,48.76,48.76,51.66,60.36,63.26,66.16,69.06,55.34,58.24,61.14,58.24,55.34,52.44,49.54,52.44,55.34,58.24,61.14,64.04,66.94,72.74,53.22,56.12,59.02,61.92,64.82,61.92,59.02,56.12,53.22,53.22,56.12,59.02,64.82,67.72,56.9,59.8,65.6,68.5,65.6,62.7,59.8,59.8,62.7,68.5,71.4,77.2,57.68,60.58,63.48,66.38,69.28,72.18,69.28,66.38,60.58,63.48,66.38,69.28,72.18,75.08,80.88,61.36,67.16,70.06,72.96,70.06,67.16,64.26,67.16,70.06,75.86,78.76,81.66,84.56
