PICKER_ID,THM_ID,ARTICLE_CODE,FLOOR,AISLE,COLUMN,SHELF,LEFT_OR_RIGHT,AMOUNT,PICKCAR_ID
44436,567304573,601,MZN1,15,11,2,R,1,4167417544
44436,567213987,602,MZN1,15,13,1,L,1,4167417544
44436,567213987,602,MZN1,15,13,1,L,1,4167417544
44436,567327226,603,MZN1,15,13,1,R,1,4167417544
43937,567327226,603,MZN1,15,13,1,R,1,4167417497
44436,567505102,604,MZN1,16,6,2,R,1,4167417544
44436,567214076,605,MZN1,16,8,2,L,1,4167417544
44436,567547360,606,MZN1,16,18,2,L,1,4167417544
44436,567131706,607,MZN1,17,3,2,L,1,4167417544
44436,567213765,608,MZN1,17,13,1,R,1,4167417544
44436,567218992,609,MZN1,17,18,2,R,1,4167417544
44436,567326959,610,MZN1,18,18,2,L,1,4167417544
44436,567326959,610,MZN1,18,18,2,L,1,4167417544
43937,567132350,611,MZN2,1,2,2,R,1,4167417543
43937,167067673,611,MZN2,1,4,2,L,1,4167417543
43937,167054675,612,MZN2,1,5,2,R,1,4167417543
43937,167067904,613,MZN2,1,12,1,L,1,4167417543
43937,167067904,613,MZN2,1,12,1,L,1,4167417543
43937,167067904,613,MZN2,1,12,1,L,1,4167417543
43937,167067904,614,MZN2,1,12,1,L,1,4167417543
43937,167057869,615,MZN2,1,13,2,R,1,4167417543
43443,167050572,616,MZN2,2,2,2,R,1,4167417608
43443,567279569,617,MZN2,2,3,1,L,1,4167417608
43443,567279569,617,MZN2,2,3,1,L,1,4167417608
43443,567279569,617,MZN2,2,3,1,L,1,4167417608
43443,167058310,619,MZN2,2,4,2,R,1,4167417608
43443,167058310,619,MZN2,2,4,2,R,1,4167417608
43443,167058310,619,MZN2,2,4,2,R,1,4167417608
43443,167058310,619,MZN2,2,4,2,R,1,4167417608
43443,167058310,619,MZN2,2,4,2,R,1,4167417608
43443,167058310,619,MZN2,2,4,2,R,1,4167417608
43443,167070264,620,MZN2,2,4,2,R,1,4167417608
43443,167070264,618,MZN2,2,4,2,R,1,4167417608
43443,167070264,618,MZN2,2,4,2,R,1,4167417608
43443,167070264,618,MZN2,2,4,2,R,1,4167417608
43443,167070264,618,MZN2,2,4,2,R,1,4167417608
43443,167070264,618,MZN2,2,4,2,R,1,4167417608
43443,167070264,620,MZN2,2,4,2,R,1,4167417608
43443,167070264,620,MZN2,2,4,2,R,1,4167417608
43443,167070264,620,MZN2,2,4,2,R,1,4167417608
43443,167070264,620,MZN2,2,4,2,R,1,4167417608
43443,167070264,620,MZN2,2,4,2,R,1,4167417608
43443,167070264,620,MZN2,2,4,2,R,1,4167417608
43443,167070264,620,MZN2,2,4,2,R,1,4167417608
43443,567279730,621,MZN2,2,5,2,R,1,4167417608
43443,167059465,622,MZN2,2,6,1,L,1,4167417608
43443,167059465,622,MZN2,2,6,1,L,1,4167417608
43443,167066062,623,MZN2,2,6,1,L,1,4167417608
43443,167053759,624,MZN2,2,6,2,L,1,4167417608
43443,167053759,624,MZN2,2,6,2,L,1,4167417608
43443,167053759,624,MZN2,2,6,2,L,1,4167417608
43443,167053759,624,MZN2,2,6,2,L,1,4167417608
43443,167053759,624,MZN2,2,6,2,L,1,4167417608
43443,167053759,624,MZN2,2,6,2,L,1,4167417608
43443,167053759,624,MZN2,2,6,2,L,1,4167417608
43443,167056060,619,MZN2,2,7,1,R,1,4167417608
43443,167066063,625,MZN2,2,7,2,L,1,4167417608
43443,167067903,626,MZN2,2,8,1,L,1,4167417608
43443,167067903,626,MZN2,2,8,1,L,1,4167417608
43443,167067903,626,MZN2,2,8,1,L,1,4167417608
43443,167067903,626,MZN2,2,8,1,L,1,4167417608
43443,167067903,626,MZN2,2,8,1,L,1,4167417608
43443,167067903,626,MZN2,2,8,1,L,1,4167417608
43443,167066603,627,MZN2,2,12,2,L,1,4167417608
43443,167066603,628,MZN2,2,12,2,L,1,4167417608
43443,167066603,628,MZN2,2,12,2,L,1,4167417608
43443,167056173,629,MZN2,2,14,2,L,1,4167417608
43443,167056173,629,MZN2,2,14,2,L,1,4167417608
43443,167066558,630,MZN2,2,15,1,L,1,4167417608
43443,167066602,632,MZN2,2,18,2,R,1,4167417608
43443,167066602,632,MZN2,2,18,2,R,1,4167417608
43443,167066602,631,MZN2,2,18,2,R,1,4167417608
43735,567184434,633,MZN2,3,3,1,R,1,4167417598
43735,167059463,634,MZN2,3,5,1,L,1,4167417598
43735,167048465,635,MZN2,3,6,2,L,1,4167417598
43735,167054557,636,MZN2,3,7,1,L,1,4167417598
43735,167054557,636,MZN2,3,7,1,L,1,4167417598
43735,167047568,637,MZN2,3,7,2,L,1,4167417598
43735,167047568,638,MZN2,3,7,2,L,1,4167417598
43735,167047568,638,MZN2,3,7,2,L,1,4167417598
43735,167047568,639,MZN2,3,7,2,L,1,4167417598
43735,167045512,640,MZN2,3,8,1,R,1,4167417598
43735,167045512,640,MZN2,3,8,1,R,1,4167417598
43735,167066612,641,MZN2,3,8,1,R,1,4167417598
43735,167058111,642,MZN2,3,8,2,R,2,4167417598
43735,167070107,632,MZN2,3,10,1,R,1,4167417598
43735,567452142,643,MZN2,3,12,1,R,1,4167417598
43735,567278119,645,MZN2,3,13,2,R,1,4167417598
43735,567278119,644,MZN2,3,13,2,R,1,4167417598
43735,167050765,646,MZN2,3,15,2,L,1,4167417598
43735,167059527,648,MZN2,3,15,2,R,1,4167417598
43735,167059527,648,MZN2,3,15,2,R,1,4167417598
43735,167059527,647,MZN2,3,15,2,R,1,4167417598
43735,167059527,649,MZN2,3,15,2,R,1,4167417598
43735,167059527,649,MZN2,3,15,2,R,2,4167417598
43735,167059527,649,MZN2,3,15,2,R,2,4167417598
43735,167045307,650,MZN2,3,16,1,L,1,4167417598
43937,167070340,651,MZN2,3,17,1,R,1,4167417543
43937,167061882,652,MZN2,3,17,2,R,1,4167417543
44506,167059456,622,MZN2,4,2,1,R,1,4167417607
44506,167059456,653,MZN2,4,2,1,R,1,4167417607
44506,167059456,653,MZN2,4,2,1,R,1,4167417607
44506,167059456,622,MZN2,4,2,1,R,1,4167417607
